continent,country,state,city,title,id,season,number_in_season,number_in_series,us_viewers_in_millions,views,location
oceania,antarctica,,,A Totally Fun Thing That Bart Will Never Do Again,505,23,19,505,5.0,53058.0,Antarctica
north america,usa,california,los angeles,Angry Dad: The Movie,478,22,14,478,6.35,42693.0,"Los Angeles, California, USA"
north america,usa,utah,park city,Any Given Sundance,418,19,18,418,6.18,41440.0,"Park City, Utah, USA"
asia,india,,,Apocalypse Cow,417,19,17,417,7.69,41118.0,India
asia,china,,hong kong,Bart on the Road,148,7,20,148,11.8,70913.0,"Hong Kong, China"
north america,canada,,,Bart on the Road,148,7,20,148,11.8,70913.0,Canada
north america,usa,missouri,branson,Bart on the Road,148,7,20,148,11.8,70913.0,"Branson, Missouri, USA"
north america,usa,tennessee,knoxville,Bart on the Road,148,7,20,148,11.8,70913.0,"Knoxville, Tennessee, USA"
oceania,australia,,,Bart vs. Australia,119,6,16,119,15.1,80724.0,Australia
europe,france,,,Bart-Mangled Banner,334,15,21,334,8.7,56275.0,France
north america,usa,delaware,,Behind the Laughter,248,11,22,248,8.3,74046.0,"Delaware, USA"
north america,usa,california,hollywood,Beyond Blunderdome,227,11,1,227,8.1,34394.0,"Hollywood, California, USA"
south america,brazil,,rio de janeiro,Blame It on Lisa,284,13,15,284,11.1,50694.0,"Rio De Janeiro, Brazil"
north america,canada,,vancouver,Boy Meets Curl,453,21,12,453,5.87,44945.0,"Vancouver, Canada"
europe,united kingdom,,,Brush with Greatness,31,2,18,31,20.6,58561.0,United Kingdom
north america,usa,florida,miami,Catch 'Em If You Can,331,15,18,331,9.3,47274.0,"Miami, Florida, USA"
north america,usa,new jersey,atlantic city,Catch 'Em If You Can,331,15,18,331,9.3,47274.0,"Atlantic City, New Jersey, USA"
north america,usa,new york,niagara falls,Catch 'Em If You Can,331,15,18,331,9.3,47274.0,"Niagara Falls, New York, USA"
north america,usa,florida,cape canaveral,Deep Space Homer,96,5,15,96,18.2,75439.0,"Cape Canaveral, Florida, USA"
north america,usa,colorado,aspen,"Double, Double, Boy in Trouble",423,20,3,423,8.09,45781.0,"Aspen, Colorado, USA"
europe,netherlands,,the hague,Elementary School Musical,465,22,1,465,7.75,31638.0,"The Hague, Netherlands"
north america,usa,arizona,grand canyon,Fland Canyon,593,27,19,593,2.77,192.0,"Grand Canyon, Arizona, USA"
asia,china,,,Goo Goo Gai Pan,347,16,12,347,10.28,44914.0,China
north america,usa,illinois,chicago,He Loves to Fly and He D'ohs,401,19,1,401,9.7,36253.0,"Chicago, Illinois, USA"
north america,usa,pennsylvania,,Home Away from Homer,355,16,20,355,8.17,44606.0,"Pennsylvania, USA"
asia,india,,,Homer and Apu,94,5,13,94,21.8,58716.0,India
north america,usa,florida,,Homerazzi,394,18,16,394,6.91,42602.0,"Florida, USA"
europe,united kingdom,,,In the Name of the Grandfather,434,20,14,434,6.15,45727.0,United Kingdom
europe,ireland,,dublin,In the Name of the Grandfather,434,20,14,434,6.15,45727.0,"Dublin, Ireland"
north america,mexico,,tijuana,Kamp Krusty,60,4,1,60,21.8,67081.0,"Tijuana, Mexico"
north america,usa,arizona,scottsdale,"Kill Gil, Volumes I & II",387,18,9,387,8.96,43700.0,"Scottsdale, Arizona, USA"
north america,usa,florida,,Kill the Alligator and Run,245,11,19,245,7.46,52176.0,"Florida, USA"
asia,india,,,"Kiss Kiss, Bang Bangalore",373,17,17,373,8.2,47829.0,India
north america,usa,california,yosemite,Lisa the Drama Queen,429,20,9,429,5.75,38582.0,"Yosemite, California, USA"
north america,usa,new york,new york,Lisa with an 'S',581,27,7,581,5.64,145.0,"New York, New York, USA"
north america,usa,hawaii,,Little Big Mom,236,11,10,236,10.0,48194.0,"Hawaii, USA"
south america,peru,,machu picchu,Lost Verizon,422,20,2,422,7.43,38186.0,"Machu Picchu, Peru"
south america,ecuador,,,Lost Verizon,422,20,2,422,7.43,38186.0,Ecuador
north america,usa,pennsylvania,,Marge Gamer,395,18,17,395,6.4,47107.0,"Pennsylvania, USA"
north america,usa,georgia,atlanta,Maximum Homerdrive,220,10,17,220,15.5,54195.0,"Atlanta, Georgia, USA"
north america,canada,,winnipeg,Midnight Rx,341,16,6,341,8.11,43118.0,"Winnipeg, Canada"
north america,usa,vermont,,Moe'N'a Lisa,384,18,6,384,9.31,37177.0,"Vermont, USA"
north america,aruba,,,Mommie Beerest,342,16,7,342,9.97,46256.0,Aruba
europe,united kingdom,,scotland,Monty Can't Buy Me Love,224,10,21,224,7.26,44242.0,"Scotland, United Kingdom"
north america,usa,washington d.c.,,Mr. Lisa Goes to Washington,37,3,2,37,20.2,52098.0,"Washington D.C., USA"
north america,usa,washington d.c.,,Mr. Spritz Goes to Washington,305,14,14,305,14.4,44837.0,"Washington D.C., USA"
north america,usa,michigan,detroit,"Oh Brother, Where Art Thou?",28,2,15,28,26.8,47426.0,"Detroit, Michigan, USA"
asia,russia,,moscow,Principal Charming,27,2,14,27,23.9,46823.0,"Moscow, Russia"
europe,belgium,,,"Raging Abe Simpson and His Grumbling Grandson in ""The Curse of the Flying Hellfish""",150,7,22,150,13.0,69120.0,Belgium
north america,usa,florida,orlando,Special Edna,298,14,7,298,15.0,40867.0,"Orlando, Florida, USA"
africa,tanzania,,,Simpson Safari,265,12,17,265,13.3,49065.0,Tanzania
north america,usa,delaware,,Simpsons Tall Tales,269,12,21,269,13.4,56698.0,"Delaware, USA"
north america,usa,florida,miami,"Sunday, Cruddy Sunday",215,10,12,215,11.5,50051.0,"Miami, Florida, USA"
north america,canada,,toronto,The Bart Wants What It Wants,280,13,11,280,11.2,45176.0,"Toronto, Canada"
north america,mexico,,,The Bob Next Door,463,21,22,463,6.26,43446.0,Mexico
north america,usa,new york,new york,The City of New York vs. Homer Simpson,179,9,1,179,10.5,62962.0,"New York, New York, USA"
europe,france,,,The Crepes of Wrath,11,1,11,11,31.2,60458.0,France
europe,france,,paris,The Devil Wears Nada,446,21,5,446,9.04,42893.0,"Paris, France"
asia,israel,,jerusalem,The Greatest Story Ever D'ohed,457,21,16,457,5.69,44070.0,"Jerusalem, Israel"
europe,italy,,,The Italian Bob,364,17,8,364,10.39,45513.0,Italy
europe,italy,,,The Last of the Red Hat Mamas,363,17,7,363,11.46,39577.0,Italy
north america,usa,missouri,branson,The Old Man and the Key,282,13,13,282,14.5,41049.0,"Branson, Missouri, USA"
europe,united kingdom,,london,The Regina Monologues,317,15,4,317,12.2,43134.0,"London, United Kingdom"
europe,iceland,,,The Saga of Carl,529,24,21,529,4.01,42996.0,Iceland
north america,usa,louisiana,new orleans,The Simpsons Spin-Off Showcase,177,8,24,177,11.6,57926.0,"New Orleans, Louisiana, USA"
north america,cuba,,,The Trouble with Trillions,198,9,20,198,7.4,23426.0,Cuba
north america,usa,new jersey,edison museum,The Wizard of Evergreen Terrace,205,10,2,205,7.95,53216.0,"Edison Museum, New Jersey, USA"
asia,japan,,tokyo,Thirty Minutes over Tokyo,226,10,23,226,8.0,55947.0,"Tokyo, Japan"
europe,france,,paris,To Courier with Love,594,27,20,594,2.52,192.0,"Paris, France"
europe,sweden,,stockholm,Treehouse of Horror XIV,314,15,1,314,16.22,68381.0,"Stockholm, Sweden"
north america,usa,nevada,las vegas,Viva Ned Flanders,213,10,10,213,11.5,56561.0,"Las Vegas, Nevada, USA"
north america,usa,oregon,,We're on the Road to D'ohwhere,367,17,11,367,9.04,43599.0,"Oregon, USA"
south america,brazil,,rio de janeiro,You Don't Have to Live Like a Referee,546,25,16,546,3.91,42080.0,"Rio De Janeiro, Brazil"
